throttle, rudder, surge, sway, yaw
1.0, 1.0, 4.28801292075e-07, 1.77615310741e-07, 0.392699081699
1.0, 1.0, 3.77708794336e-07, 1.56452105241e-07, 0.392699081699
1.0, 1.0, 3.39606902432e-07, 1.40669784863e-07, 0.392699081699
1.0, 1.0, 3.48429616429e-07, 1.44324272657e-07, 0.392699081699
1.0, 1.0, 3.95648871267e-07, 1.63883128417e-07, 0.392699081699
1.0, 1.0, 4.42307688953e-07, 1.83209843506e-07, 0.392699081699
1.0, 1.0, 4.59091281762e-07, 1.90161835273e-07, 0.392699081699
1.0, 1.0, 4.37168015905e-07, 1.81080921224e-07, 0.392699081699
1.0, 1.0, 3.88235675825e-07, 1.60812482324e-07, 0.392699081699
1.0, 1.0, 3.44169759497e-07, 1.42559782142e-07, 0.392699081699
1.0, 1.0, 3.42565363689e-07, 1.41895219639e-07, -5.89048622548
1.0, 1.0, 3.8497902807e-07, 1.59463534656e-07, 0.392699081699
1.0, 1.0, 4.34719198647e-07, 1.80066587903e-07, 0.392699081699
1.0, 1.0, 4.58844536675e-07, 1.90059630112e-07, 0.392699081699
1.0, 1.0, 4.44387395877e-07, 1.8407128632e-07, 0.392699081699
1.0, 1.0, 3.98917816466e-07, 1.65237169853e-07, 0.392699081699
1.0, 1.0, 3.50568943125e-07, 1.45210410789e-07, 0.392699081699
1.0, 1.0, 3.38611993102e-07, 1.40257679925e-07, 0.392699081699
1.0, 1.0, 3.74567741931e-07, 1.55151038735e-07, 0.392699081699
1.0, 1.0, 4.26036716833e-07, 1.76470186181e-07, 0.392699081699
1.0, 1.0, 4.56988153191e-07, 1.89290690895e-07, 0.392699081699
1.0, 1.0, 4.5029750802e-07, 1.86519334925e-07, 0.392699081699
1.0, 1.0, 4.09430192387e-07, 1.69591538532e-07, 0.392699081699
1.0, 1.0, 3.58517745259e-07, 1.48502912438e-07, 0.392699081699
1.0, 1.0, 3.36758375489e-07, 1.3948988637e-07, -5.89048622548
1.0, 1.0, 3.64767424501e-07, 1.5109161434e-07, 0.392699081699
1.0, 1.0, 4.1646671466e-07, 1.72506161489e-07, 0.392699081699
1.0, 1.0, 4.535624336e-07, 1.8787171138e-07, 0.392699081699
1.0, 1.0, 4.54775427222e-07, 1.88374149789e-07, 0.392699081699
1.0, 1.0, 4.1947918595e-07, 1.73753967954e-07, 0.392699081699
1.0, 1.0, 3.67683125357e-07, 1.52299337179e-07, 0.392699081699
1.0, 1.0, 3.37095575483e-07, 1.39629559181e-07, 0.392699081699
1.0, 1.0, 3.55937475457e-07, 1.47434129691e-07, 0.392699081699
1.0, 1.0, 4.06246134896e-07, 1.68272658735e-07, 0.392699081699
1.0, 1.0, 4.48634023303e-07, 1.85830296994e-07, 0.392699081699
1.0, 1.0, 4.57725828021e-07, 1.89596245815e-07, 0.392699081699
1.0, 1.0, 4.28800770516e-07, 1.77615094704e-07, 0.392699081699
1.0, 1.0, 3.77708635217e-07, 1.56452039333e-07, 0.392699081699
1.0, 1.0, 3.3960689837e-07, 1.4066978318e-07, -5.89048622548
1.0, 1.0, 3.48429643751e-07, 1.44324283975e-07, 0.392699081699
1.0, 1.0, 3.95649148318e-07, 1.63883243175e-07, 0.392699081699
1.0, 1.0, 4.42308331579e-07, 1.83210109691e-07, 0.392699081699
1.0, 1.0, 4.59092074303e-07, 1.90162163554e-07, 0.392699081699
1.0, 1.0, 4.37168607913e-07, 1.81081166441e-07, 0.392699081699
1.0, 1.0, 3.88235898542e-07, 1.60812574576e-07, 0.392699081699
1.0, 1.0, 3.44169774005e-07, 1.42559788152e-07, 0.392699081699
1.0, 1.0, 3.42565353376e-07, 1.41895215368e-07, 0.392699081699
1.0, 1.0, 3.84978820381e-07, 1.59463448628e-07, 0.392699081699
1.0, 1.0, 4.34718621254e-07, 1.80066348739e-07, 0.392699081699
1.0, 1.0, 4.58843745844e-07, 1.90059302539e-07, 0.392699081699
1.0, 1.0, 4.44386740153e-07, 1.8407101471e-07, 0.392699081699
1.0, 1.0, 3.98917523094e-07, 1.65237048334e-07, 0.392699081699
1.0, 1.0, 3.50568909709e-07, 1.45210396948e-07, 0.392699081699
1.0, 1.0, 3.38611994731e-07, 1.402576806e-07, -5.89048622548
1.0, 1.0, 3.74567888106e-07, 1.55151099283e-07, 0.392699081699
